City,County,Street,HouseCount,Link,Price EUR,Price per m2,Rooms,Area m2,Floor,Total floors,Flat number,House number,Year,Building type,Heating,Installation type,Specials,Extra quarters,Extra equipment,Security,Upload date,Modify date,Memorized count,Views,Telephone,Coordinates
Vilnius, Visoriai,Mykolo Sleževičiaus g.,20,https://www.aruodas.lt/butai-vilniuje-visoriuose-mykolo-slezeviciaus-g-naujas-a-klases-daugiabutis-namas-1-2664807/,62500,1614,2,38.73,3,6,43,14,2019,Mūrinis,Centrinis kolektorinis,Dalinė apdaila,Nauja kanalizacija Nauja elektros instaliacija Uždaras kiemas Internetas Kabelinė televizija,Balkonas,Plastikiniai vamzdžiai,Šarvuotos durys Kodinė laiptinės spyna Videokameros,8/21/2019,8/21/2019,32,656,37061833732,54.738141 25.255039
Vilnius, Pilaitė,Pilkalnio g.,20,https://www.aruodas.lt/butai-vilniuje-pilaiteje-pilkalnio-g-demesio-rugpjucio-29-d-ketvirtadieni-15-1-2771097/,86312,1038,3,83.16,3,3,3,1,2019,Mūrinis,Aeroterminis,Dalinė apdaila,Atskiras įėjimas Butas per kelis aukštus Uždaras kiemas,Sandėliukas Terasa Vieta automobiliui,-,Videokameros,8/20/2019,8/23/2019,14,2467,37065937360,54.709599 25.16517
Vilnius, Burbiškės,Burbiškių g.,20,https://www.aruodas.lt/butai-vilniuje-burbiskes-burbiskiu-g-misko-ardai-namai-kuriuosel-lengva-1-2757093/,85629,1740,2,49.2,1,4,-,-,2019,Mūrinis,Dujinis,Dalinė apdaila,Aukštos lubos Uždaras kiemas Virtuvė sujungta su kambariu,Terasa,Šildomos grindys,Šarvuotos durys Signalizacija Kodinė laiptinės spyna Videokameros,8/22/2019,8/23/2019,10,210,37065261127,-
Vilnius, Burbiškės,Burbiškių g.,20,https://www.aruodas.lt/butai-vilniuje-burbiskes-burbiskiu-g-misko-ardai-namai-kuriuosel-lengva-1-2757117/,94649,1924,2,49.2,2,4,-,-,2019,Mūrinis,Dujinis,Dalinė apdaila,Aukštos lubos Uždaras kiemas Virtuvė sujungta su kambariu,Terasa,Šildomos grindys,Šarvuotos durys Signalizacija Kodinė laiptinės spyna Videokameros,8/22/2019,8/22/2019,2,193,37065261127,-
Vilnius, Antakalnis,Rato g.,12,https://www.aruodas.lt/butai-vilniuje-antakalnyje-rato-g-kokybiskas-ekonomiskas-solidus-3-k-butas-1-2755203/,158000,2406,3,65.67,1,3,9,2,2019,Mūrinis,Dujinis,Dalinė apdaila,Aukštos lubos Uždaras kiemas Virtuvė sujungta su kambariu,Sandėliukas Terasa Vieta automobiliui Drabužinė,Šildomos grindys,Šarvuotos durys Kodinė laiptinės spyna Videokameros,7/17/2019,8/21/2019,8,1762,37061005927,54.731075 25.331911
Vilnius, Visoriai,Mykolo Sleževičiaus g.,11,https://www.aruodas.lt/butai-vilniuje-visoriuose-mykolo-slezeviciaus-g-paskutinis-sio-isplanavimo-butas-projekte-1-2661135/,74500,1642,3,45.38,5,6,57,14,2019,Mūrinis,Centrinis kolektorinis,Dalinė apdaila,Nauja kanalizacija Nauja elektros instaliacija Uždaras kiemas Internetas Kabelinė televizija Virtuvė sujungta su kambariu,Balkonas,-,Šarvuotos durys Kodinė laiptinės spyna Videokameros,8/21/2019,8/22/2019,7,538,37061833732,54.738141 25.255039
Vilnius, Šnipiškės,Giedraičių g.,11,https://www.aruodas.lt/butai-vilniuje-snipiskese-giedraiciu-g-svajojate-gyventi-salia-darbo-ir-ryta-1-2760487/,102200,1890,2,54.08,3,4,S27,60A,2019,Blokinis,Centrinis kolektorinis,Dalinė apdaila,-,-,-,-,7/30/2019,8/23/2019,5,574,37065991755,54.705628 25.279712
Vilnius, Naujamiestis,Naugarduko g.,11,https://www.aruodas.lt/butai-vilniuje-naujamiestyje-naugarduko-g-naujas-a-klases-33-butu-daugiabutis-namas-1-2702283/,81500,2191,1,37.19,2,4,-,50B,2019,Mūrinis,Centrinis kolektorinis,Dalinė apdaila,Aukštos lubos Uždaras kiemas Virtuvė sujungta su kambariu,Balkonas,-,Šarvuotos durys Kodinė laiptinės spyna Videokameros,8/20/2019,8/20/2019,27,487,37062676029,54.673229 25.266768
Vilnius, Pilaitė,Pilkalnio g.,11,https://www.aruodas.lt/butai-vilniuje-pilaiteje-pilkalnio-g-demesio-rugpjucio-29-d-ketvirtadieni-15-1-2771109/,87349,1049,4,83.27,2,3,5,1,2019,Mūrinis,Aeroterminis,Dalinė apdaila,Atskiras įėjimas Butas per kelis aukštus Uždaras kiemas,Sandėliukas Terasa Vieta automobiliui,-,Videokameros,8/20/2019,8/23/2019,3,772,37065937360,54.709599 25.16517
Vilnius, Pašilaičiai,Budiniškių g.,11,https://www.aruodas.lt/butai-vilniuje-pasilaiciuose-budiniskiu-g--butai-su-pilnos-apdailos-galimybe-1-2771899/,42700,1731,1,24.67,1,5,5,K11,2019,Mūrinis,Centrinis kolektorinis,Dalinė apdaila,Virtuvė sujungta su kambariu,Terasa Vieta automobiliui,-,Šarvuotos durys Kodinė laiptinės spyna Videokameros,8/21/2019,8/23/2019,2,570,37060089188,-
